Unnamed: 0,time,t,fricv,shtfl,sp,u10,v10
136.0,2021-01-06 16:00:00,276.31833,0.21,42.0,99200.0,1.4852142,-1.6847553
137.0,2021-01-06 17:00:00,276.59247,0.25,33.0,99200.0,2.4099503,-1.4089775
138.0,2021-01-06 18:00:00,275.52173,0.21,-5.0,99140.0,2.198472,-1.4760342
139.0,2021-01-06 19:00:00,275.232,0.25,-20.0,99110.0,2.9499006,-1.2413063
140.0,2021-01-06 20:00:00,275.80444,0.16,-6.0,99140.0,2.0709324,-0.49169254
141.0,2021-01-06 21:00:00,275.53345,0.25,-15.0,99170.0,2.6199856,-1.7414303
142.0,2021-01-06 22:00:00,275.2062,0.14,-9.0,99230.0,1.7264156,-1.0505991
143.0,2021-01-06 23:00:00,275.0294,0.11,0.0,99290.0,1.0398111,-0.82865334
144.0,2021-01-07 00:00:00,273.05627,0.13,-13.0,99330.0,1.0733023,-1.8848467
145.0,2021-01-07 01:00:00,272.81207,0.08,-4.0,99360.0,0.7642622,-1.5414715
146.0,2021-01-07 02:00:00,273.0505,0.06,-3.0,99380.0,1.089179,-1.0833969
147.0,2021-01-07 03:00:00,272.92914,0.04,-1.0,99360.0,1.0774679,0.036857605
148.0,2021-01-07 04:00:00,272.88312,0.02,0.0,99330.0,0.64157677,0.14739227
149.0,2021-01-07 05:00:00,272.95386,0.07,-3.0,99300.0,1.5641193,-0.31080818
150.0,2021-01-07 06:00:00,273.02936,0.08,-5.0,99310.0,1.6654148,-0.76896954
151.0,2021-01-07 07:00:00,272.96515,0.03,-1.0,99310.0,0.589345,-0.7505264
152.0,2021-01-07 08:00:00,273.01617,0.04,-1.0,99310.0,0.9949875,-0.47416878
153.0,2021-01-07 09:00:00,273.85297,0.08,0.0,99320.0,0.8910265,-0.5928469
154.0,2021-01-07 10:00:00,273.05682,0.02,-1.0,99310.0,0.7538662,-0.21748638
155.0,2021-01-07 11:00:00,273.5484,0.03,0.0,99290.0,0.687109,-0.19079876
156.0,2021-01-07 12:00:00,272.7343,0.04,-2.0,99340.0,1.0106363,-0.8346119
157.0,2021-01-07 13:00:00,272.75107,0.02,0.0,99310.0,0.506897,-0.31503677
158.0,2021-01-07 14:00:00,274.01605,0.18,7.0,99360.0,0.84896564,-1.8958845
159.0,2021-01-07 15:00:00,275.14954,0.25,38.0,99380.0,0.21631241,-2.7590418
160.0,2021-01-07 16:00:00,274.77277,0.24,21.0,99350.0,-0.017416954,-2.776699
161.0,2021-01-07 17:00:00,275.32587,0.23,27.0,99280.0,0.22353745,-2.6322374
