Unnamed: 0,time,t,fricv,shtfl,sp,u10,v10
112.0,2021-01-05 16:00:00,275.09753,0.19,42.0,97280.0,1.8939886,-1.2248688
113.0,2021-01-05 17:00:00,276.07764,0.09,40.0,97250.0,0.81092834,-0.30732536
114.0,2021-01-05 18:00:00,275.43347,0.13,15.0,97230.0,1.4905148,-0.31756973
115.0,2021-01-05 19:00:00,274.82404,0.18,9.0,97260.0,2.2735043,-0.047756195
116.0,2021-01-05 20:00:00,274.7182,0.16,0.0,97310.0,2.1204815,-0.102033615
117.0,2021-01-05 21:00:00,274.4833,0.14,-3.0,97390.0,1.9169292,-0.3102703
118.0,2021-01-05 22:00:00,274.14325,0.1,-4.0,97480.0,1.6706686,0.32738113
119.0,2021-01-05 23:00:00,273.62994,0.05,-2.0,97520.0,1.3592167,0.094070435
120.0,2021-01-06 00:00:00,273.76013,0.15,-8.0,97600.0,2.2158813,0.03166771
121.0,2021-01-06 01:00:00,273.83105,0.13,-7.0,97630.0,2.055708,-0.15979767
122.0,2021-01-06 02:00:00,273.81903,0.14,-6.0,97700.0,2.046237,-0.48692322
123.0,2021-01-06 03:00:00,273.92807,0.14,-1.0,97710.0,1.821537,-0.5638752
124.0,2021-01-06 04:00:00,274.07196,0.18,-3.0,97740.0,2.152772,-1.2783203
125.0,2021-01-06 05:00:00,273.9489,0.21,-3.0,97780.0,2.301816,-1.6905441
126.0,2021-01-06 06:00:00,273.85278,0.18,-2.0,97840.0,1.7569532,-1.7209721
127.0,2021-01-06 07:00:00,273.7516,0.15,0.0,97830.0,1.4508696,-1.3815403
128.0,2021-01-06 08:00:00,273.68283,0.21,-1.0,97900.0,1.9041567,-2.1052494
129.0,2021-01-06 09:00:00,273.47992,0.18,-1.0,97930.0,2.2234163,-0.9392662
130.0,2021-01-06 10:00:00,273.2704,0.14,-5.0,97960.0,1.6972504,-1.0173359
131.0,2021-01-06 11:00:00,273.49042,0.15,-2.0,97999.41,1.549057,-1.3199615
132.0,2021-01-06 12:00:00,273.6121,0.17,-1.0,98070.0,1.9562578,-1.158617
133.0,2021-01-06 13:00:00,273.36615,0.17,-5.0,98130.0,2.0625067,-1.3320923
134.0,2021-01-06 14:00:00,273.9368,0.2,9.0,98210.0,2.369649,-0.9001999
135.0,2021-01-06 15:00:00,274.17773,0.25,32.0,98260.0,1.9812822,-2.3488884
136.0,2021-01-06 16:00:00,274.69333,0.22,26.0,98230.0,2.0477142,-1.9347553
137.0,2021-01-06 17:00:00,275.15497,0.23,19.0,98210.0,2.5349503,-1.4714775
138.0,2021-01-06 18:00:00,275.27173,0.23,7.0,98150.0,2.510972,-1.5385342
139.0,2021-01-06 19:00:00,274.982,0.25,-1.0,98150.0,2.8249006,-1.8663063
140.0,2021-01-06 20:00:00,275.36694,0.2,4.0,98180.0,2.5709324,-0.74169254
141.0,2021-01-06 21:00:00,275.09595,0.18,-6.0,98200.0,2.1199856,-1.4914303
142.0,2021-01-06 22:00:00,274.7687,0.13,-8.0,98230.0,2.0389156,-0.4880991
143.0,2021-01-06 23:00:00,274.6544,0.12,-6.0,98290.0,1.7898111,-0.82865334
144.0,2021-01-07 00:00:00,273.36877,0.14,-14.0,98310.0,1.8858023,-1.5098467
145.0,2021-01-07 01:00:00,272.99957,0.2,-17.0,98360.0,1.3267622,-2.6664715
146.0,2021-01-07 02:00:00,273.113,0.21,-15.0,98380.0,1.401679,-2.708397
147.0,2021-01-07 03:00:00,272.86664,0.15,-5.0,98380.0,1.2649679,-1.7756424
148.0,2021-01-07 04:00:00,272.94562,0.08,-2.0,98360.0,1.0165768,-0.8526077
149.0,2021-01-07 05:00:00,272.89136,0.11,-5.0,98330.0,1.7516193,-0.49830818
150.0,2021-01-07 06:00:00,272.96686,0.21,-14.0,98330.0,2.7904148,-1.0814695
151.0,2021-01-07 07:00:00,272.96515,0.14,-8.0,98330.0,1.526845,-1.5630264
152.0,2021-01-07 08:00:00,272.89117,0.13,-6.0,98340.0,1.5574875,-1.2866688
153.0,2021-01-07 09:00:00,272.85297,0.16,-8.0,98330.0,1.7035265,-1.5928469
154.0,2021-01-07 10:00:00,272.93182,0.11,-5.0,98310.0,1.2538662,-1.2799864
155.0,2021-01-07 11:00:00,272.9234,0.14,-5.0,98290.0,1.249609,-1.6282988
156.0,2021-01-07 12:00:00,273.0468,0.16,-7.0,98330.0,1.1981363,-2.022112
157.0,2021-01-07 13:00:00,272.81357,0.18,-7.0,98320.0,0.569397,-2.5025368
158.0,2021-01-07 14:00:00,273.32855,0.24,4.0,98380.0,0.72396564,-3.0833845
159.0,2021-01-07 15:00:00,274.21204,0.3,28.0,98360.0,0.4663124,-3.8215418
160.0,2021-01-07 16:00:00,274.77277,0.24,41.0,98320.0,0.045083046,-3.026699
161.0,2021-01-07 17:00:00,275.07587,0.23,43.0,98290.0,0.53603745,-2.8197374
162.0,2021-01-07 18:00:00,275.3042,0.2,36.0,98230.0,-0.19434547,-2.4339294
163.0,2021-01-07 19:00:00,275.61694,0.16,31.0,98180.0,-0.11883545,-1.923624
164.0,2021-01-07 20:00:00,275.3062,0.13,13.0,98140.0,0.05530548,-1.4938135
165.0,2021-01-07 21:00:00,274.82806,0.16,3.0,98130.0,0.4921875,-2.0759783
166.0,2021-01-07 22:00:00,274.00543,0.13,0.0,98130.0,0.7805929,-1.5465212
167.0,2021-01-07 23:00:00,273.25665,0.13,-1.0,98140.0,0.45738888,-1.6988564
168.0,2021-01-08 00:00:00,272.94275,0.1,-1.0,98140.0,0.9007807,-1.0913086
169.0,2021-01-08 01:00:00,272.87872,0.12,1.0,98110.0,0.5406923,-1.4814053
170.0,2021-01-08 02:00:00,272.81442,0.2,6.0,98070.0,-0.2578764,-2.6084146
171.0,2021-01-08 03:00:00,272.48322,0.23,5.0,98060.0,-0.15855503,-2.9951801
172.0,2021-01-08 04:00:00,272.4887,0.27,15.0,98090.0,0.0077285767,-3.547697
173.0,2021-01-08 05:00:00,272.31512,0.22,13.0,98070.0,-0.22929573,-2.8613062
174.0,2021-01-08 06:00:00,272.05084,0.18,12.0,97990.0,-0.55132294,-2.2165232
175.0,2021-01-08 07:00:00,271.24988,0.22,-6.0,97900.0,-0.73612213,-2.986086
176.0,2021-01-08 08:00:00,271.18372,0.17,7.0,97860.0,-0.6356926,-2.122902
177.0,2021-01-08 09:00:00,271.04086,0.17,1.0,97780.0,-0.7644005,-2.1978378
178.0,2021-01-08 10:00:00,271.00378,0.18,5.0,97770.0,-0.45918941,-2.2853317
179.0,2021-01-08 11:00:00,270.71878,0.23,8.0,97730.0,-0.42149258,-2.9282227
180.0,2021-01-08 12:00:00,270.66943,0.22,10.0,97730.0,-0.43539906,-2.8070927
181.0,2021-01-08 13:00:00,270.3109,0.18,4.0,97790.0,0.06677246,-2.3187904
182.0,2021-01-08 14:00:00,270.8935,0.26,15.0,97790.0,-0.35292435,-3.3674717
183.0,2021-01-08 15:00:00,271.4901,0.25,35.0,97800.0,-0.14999008,-3.226488
184.0,2021-01-08 16:00:00,271.62036,0.24,30.0,97720.0,-0.012729645,-3.031042
185.0,2021-01-08 17:00:00,272.22488,0.27,53.0,97620.0,-0.49992466,-3.2588978
186.0,2021-01-08 18:00:00,272.3825,0.25,35.0,97540.0,0.48544216,-3.1083622
187.0,2021-01-08 19:00:00,274.28845,0.21,63.0,97480.0,-0.07765198,-2.5377407
188.0,2021-01-08 20:00:00,274.6042,0.18,37.0,97470.0,-0.2850504,-2.0414448
189.0,2021-01-08 21:00:00,273.52917,0.17,5.0,97480.0,0.19909668,-2.177002
190.0,2021-01-08 22:00:00,272.7663,0.08,-3.0,97490.0,0.6387596,-1.243618
191.0,2021-01-08 23:00:00,272.68604,0.09,-2.0,97520.0,0.9017868,-1.1902628
192.0,2021-01-09 00:00:00,272.54944,0.25,4.0,97570.0,1.1926956,-3.1461105
193.0,2021-01-09 01:00:00,272.50745,0.25,16.0,97590.0,1.1987944,-2.9865685
194.0,2021-01-09 02:00:00,272.40674,0.29,23.0,97610.0,1.5540333,-3.3727188
195.0,2021-01-09 03:00:00,272.14484,0.24,26.0,97610.0,1.0847282,-2.8927288
196.0,2021-01-09 04:00:00,271.76572,0.26,23.0,97630.0,1.3108873,-3.101635
197.0,2021-01-09 05:00:00,271.12714,0.22,11.0,97620.0,1.3168135,-2.574398
198.0,2021-01-09 06:00:00,270.9602,0.2,15.0,97600.0,0.9653702,-2.4000816
199.0,2021-01-09 07:00:00,269.94968,0.18,1.0,97620.0,1.1713057,-2.184595
200.0,2021-01-09 08:00:00,269.88303,0.17,6.0,97680.0,0.8503332,-2.0249386
201.0,2021-01-09 09:00:00,269.6676,0.18,17.0,97710.0,0.6610441,-2.0676785
202.0,2021-01-09 10:00:00,268.88873,0.11,3.0,97740.0,0.9465523,-1.0221176
203.0,2021-01-09 11:00:00,267.8725,0.12,-5.0,97810.0,1.3560638,-1.3323612
204.0,2021-01-09 12:00:00,267.59113,0.12,-7.0,97840.0,1.4613724,-1.2875404
205.0,2021-01-09 13:00:00,267.35315,0.11,-5.0,97890.0,1.5257473,-0.9758816
206.0,2021-01-09 14:00:00,268.66357,0.17,10.0,97980.0,2.1204252,-0.17957115
207.0,2021-01-09 15:00:00,270.8626,0.21,28.0,98070.0,2.1606026,-1.343689
208.0,2021-01-09 16:00:00,272.17886,0.2,37.0,98100.0,2.016739,-1.3239479
209.0,2021-01-09 17:00:00,273.43884,0.16,40.0,98050.0,1.7694893,-0.5498619
210.0,2021-01-09 18:00:00,276.25955,0.21,96.0,97980.0,2.1816835,-0.99079514
211.0,2021-01-09 19:00:00,276.83063,0.21,63.0,97930.0,1.9660769,-1.4170742
212.0,2021-01-09 20:00:00,276.39807,0.24,28.0,97960.0,2.663826,-1.5458927
213.0,2021-01-09 21:00:00,275.37885,0.19,-9.0,97980.0,2.5618153,-0.9295349
214.0,2021-01-09 22:00:00,273.66577,0.11,-13.0,98050.0,2.3518991,-0.13536835
215.0,2021-01-09 23:00:00,273.17682,0.07,-6.0,98100.0,1.8598919,-0.22977161
216.0,2021-01-10 00:00:00,272.74994,0.09,-8.0,98130.0,2.000846,-0.31452942
217.0,2021-01-10 01:00:00,272.5657,0.11,-10.0,98170.0,2.1165886,-0.3221588
