time,t,fricv,shtfl,sp,u10,v10
2021-04-18 22:00:00,288.8693542480469,0.2899999916553497,34.0,98960.0,3.702635765075684,-0.6713390350341797
2021-04-18 23:00:00,286.6833190917969,0.1299999952316284,-3.0,98980.0,1.9764556884765625,-0.2932071685791015
2021-04-19 00:00:00,283.5300598144531,0.0700000002980232,-7.0,99010.0,1.634939193725586,1.154672622680664
2021-04-19 01:00:00,282.2588195800781,0.0199999995529651,-1.0,99040.0,0.5489635467529297,-0.1718893051147461
2021-04-19 02:00:00,281.3608093261719,0.0599999986588954,-6.0,99100.0,1.9868144989013672,-0.1063060760498046
2021-04-19 03:00:00,280.049560546875,0.0599999986588954,-6.0,99110.0,1.907428741455078,-0.3343887329101562
2021-04-19 04:00:00,279.0077514648437,0.0700000002980232,-7.0,99100.0,1.7538700103759766,-1.077619552612305
2021-04-19 05:00:00,277.97216796875,0.0299999993294477,-2.0,99120.0,0.8847103118896484,0.1636581420898437
2021-04-19 06:00:00,277.3495483398437,0.0399999991059303,-4.0,99090.0,1.2693519592285156,-0.5688877105712891
2021-04-19 07:00:00,276.61883544921875,0.0799999982118606,-11.0,99110.0,0.6783847808837891,2.3560791015625
2021-04-19 08:00:00,276.5611572265625,0.0700000002980232,-10.0,99140.0,1.952436447143555,1.041036605834961
2021-04-19 09:00:00,276.295654296875,0.0399999991059303,-5.0,99120.0,1.3589096069335938,-0.5787200927734375
2021-04-19 10:00:00,275.7189636230469,0.0299999993294477,-3.0,99110.0,1.0505867004394531,-0.2926292419433594
2021-04-19 11:00:00,276.3578491210937,0.0199999995529651,-2.0,99130.0,0.5561122894287109,0.6502056121826172
2021-04-19 12:00:00,281.49566650390625,0.0799999982118606,7.0,99140.0,0.6127777099609375,0.7305469512939453
2021-04-19 13:00:00,287.17645263671875,0.1199999973177909,65.0,99130.0,-0.1136140823364257,1.157073974609375
2021-04-19 14:00:00,291.65557861328125,0.1299999952316284,129.0,99110.0,0.0658607482910156,1.0823516845703125
2021-04-19 15:00:00,294.77685546875,0.0900000035762786,147.0,99070.0,-0.5985641479492188,0.41900634765625
