time,t,fricv,shtfl,sp,u10,v10
10/8/2020 1:00,291.5103,0.1,-8,97490,1.4070778,-0.96011543
10/8/2020 2:00,289.2674,0.04,-2,97560,1.4871273,-0.2991562
10/8/2020 3:00,287.48532,0.15,-13,97670,1.1732569,-2.138587
10/8/2020 4:00,285.93085,0.08,-6,97750,0.5879936,-1.8391438
10/8/2020 5:00,284.5567,0.03,-2,97800,0.86656094,-0.8916874
10/8/2020 6:00,283.27325,0.03,-1,97850,0.8870487,-0.75230885
10/8/2020 7:00,282.68198,0.09,-9,97860,2.1445446,-0.38160706
10/8/2020 8:00,281.908,0.01,0,97940,0.40148735,0.003513336
10/8/2020 9:00,280.53076,0.01,0,97980,0.20205879,0.50301933
10/8/2020 10:00,279.71234,0.03,-1,98040,0.48349953,1.0046463
10/8/2020 11:00,278.7506,0.03,-2,98100,0.8459015,0.98353195
10/8/2020 12:00,278.91528,0.03,-1,98170,0.6111069,1.0683212
10/8/2020 13:00,283.8667,0.12,40,98250,0.86532974,0.12629128
10/8/2020 14:00,289.4955,0.2,164,98320,1.4087429,-0.40772247
10/8/2020 15:00,292.47488,0.33,244,98340,2.244627,-1.895256
10/8/2020 16:00,294.73053,0.34,303,98360,2.3678493,-1.6522732
10/8/2020 17:00,296.14743,0.38,339,98380,2.7412968,-2.0571404
10/8/2020 18:00,297.33038,0.34,385,98320,2.216957,-1.8151207
10/8/2020 19:00,297.08032,0.34,330,98290,2.4517593,-1.5383968
10/8/2020 20:00,295.85974,0.31,240,98260,2.4236946,-0.98462677
10/8/2020 21:00,293.80444,0.27,110,98260,2.1576538,-1.1667747
10/8/2020 22:00,290.83344,0.2,6,98270,1.7037163,-1.0746269
10/8/2020 23:00,286.95566,0.02,-2,98300,0.5579643,-0.28366852
10/9/2020 0:00,284.8531,0.01,-1,98330,0.1614151,-0.11237717
10/9/2020 1:00,283.11392,0.01,-1,98350,0.1363678,0.08535004
10/9/2020 2:00,281.93652,0.02,-1,98370,-0.09981537,0.5782356
10/9/2020 3:00,280.69714,0.03,-2,98380,-0.5645752,1.1753769
10/9/2020 4:00,279.80978,0.03,-2,98390,-0.1861,1.087017
10/9/2020 5:00,279.18665,0.03,-2,98380,-0.34074783,1.0789261
10/9/2020 6:00,278.62772,0.03,-3,98390,0.41547775,1.2515831
10/9/2020 7:00,278.26193,0.04,-4,98390,0.005653381,1.3923721
10/9/2020 8:00,278.10733,0.04,-4,98350,0.9744339,0.95186615
10/9/2020 9:00,277.60318,0.03,-3,98350,0.42650795,0.8911457
10/9/2020 10:00,277.22913,0.01,-2,98390,-0.09843445,0.5408249
10/9/2020 11:00,276.83823,0.02,-3,98420,-0.41477013,0.82019806
10/9/2020 12:00,277.363,0.01,-1,98460,-0.1785965,0.25027657
10/9/2020 13:00,283.2241,0.07,9,98510,0.32717514,0.2718315
10/9/2020 14:00,289.4982,0.21,114,98490,0.7821102,1.5384674
10/9/2020 15:00,294.45407,0.28,181,98460,0.95098114,2.2066193
10/9/2020 16:00,298.30835,0.37,254,98420,1.3627167,3.1076698
10/9/2020 17:00,300.423,0.36,288,98336.85,1.4185371,2.8745728
10/9/2020 18:00,301.63107,0.39,290,98220,0.87734985,3.4924545
10/9/2020 19:00,301.4236,0.41,240,98140,0.7086601,3.8867111
10/9/2020 20:00,300.15268,0.37,140,98090,0.65693283,3.524147
10/9/2020 21:00,298.08508,0.33,44,98050,-0.00570488,3.4493523
10/9/2020 22:00,294.7968,0.23,-23,98000,-0.39892578,2.893711
10/9/2020 23:00,291.2416,0.07,-6,97990,-1.0319977,1.8663826
10/10/2020 0:00,288.90652,0.04,-4,97980,-0.875864,1.2348633
10/10/2020 1:00,287.5641,0.04,-4,97960,-0.9391365,1.0074768
10/10/2020 2:00,286.3959,0.04,-4,97920,-1.0868568,1.3018379
10/10/2020 3:00,285.86783,0.06,-6,97870,-0.74858856,2.005787
10/10/2020 4:00,285.5482,0.06,-8,97860,-0.26085854,2.2441673
10/10/2020 5:00,285.7048,0.07,-10,97800,0.071352005,2.5414677
10/10/2020 6:00,285.95767,0.08,-12,97810,0.356102,2.6880188
10/10/2020 7:00,286.65207,0.12,-23,97800,1.0313625,2.789486
10/10/2020 8:00,286.76025,0.11,-19,97760,1.0371723,2.723383
10/10/2020 9:00,286.87082,0.11,-17,97780,0.93555737,2.7111263
10/10/2020 10:00,286.72165,0.05,-5,97810,-0.13449001,1.9640388
10/10/2020 11:00,286.86526,0.08,-10,97870,0.58398247,2.3922787
10/10/2020 12:00,287.29816,0.06,-6,97880,0.27894115,2.2145557
10/10/2020 13:00,291.3303,0.26,13,97890,1.0475693,2.5838451
10/10/2020 14:00,293.31308,0.36,39,97870,1.6145821,3.4087973
10/10/2020 15:00,295.45963,0.41,97,97840,2.2640743,3.502039
10/10/2020 16:00,298.2864,0.5,191,97790,3.1210623,4.1264563
10/10/2020 17:00,301.27734,0.49,261,97720,3.1599302,3.7256823
10/10/2020 18:00,302.37082,0.49,271,97670,2.9567537,3.9286747
10/10/2020 19:00,300.62347,0.5,191,97630,3.5670805,3.679658
10/10/2020 20:00,296.7627,0.48,30,97650,3.3581963,4.077462
10/10/2020 21:00,295.49506,0.43,30,97660,2.3882618,4.0671473
10/10/2020 22:00,293.98163,0.4,9,97700,2.394905,3.8516026
10/10/2020 23:00,292.8925,0.32,-3,97750,1.9092073,3.0825462
10/11/2020 0:00,292.5431,0.27,-1,97770,1.3178682,2.733097
10/11/2020 1:00,291.87656,0.22,-1,97780,1.1292171,2.1749973
10/11/2020 2:00,291.4823,0.15,-6,97790,0.9706631,1.7129765
10/11/2020 3:00,291.26175,0.09,-3,97760,-0.21398067,1.3039207
10/11/2020 4:00,291.01254,0.07,1,97750,-0.35763264,0.68078613
10/11/2020 5:00,291.10828,0.12,4,97800,0.17771721,1.4000568
10/11/2020 6:00,290.96808,0.13,3,97820,0.8763523,1.0918198
10/11/2020 7:00,290.89612,0.11,2,97820,0.18438148,1.1246672
10/11/2020 8:00,290.8657,0.1,0,97800,0.16121387,1.2498722
10/11/2020 9:00,290.81436,0.12,1,97790,0.22966957,1.3376637
10/11/2020 10:00,290.81244,0.09,5,97850,0.16050243,0.8326626
10/11/2020 11:00,290.58472,0.05,1,97830,-0.2604742,-0.42464256
10/11/2020 12:00,290.79007,0.09,4,97830,-0.47749424,-0.673563
10/11/2020 13:00,291.8968,0.16,32,97870,-0.89241505,-1.112423
10/11/2020 14:00,293.85037,0.17,108,97910,-0.9151802,-0.8114033
10/11/2020 15:00,295.52988,0.24,148,97920,-1.6580219,-1.1242657
10/11/2020 16:00,297.2067,0.28,207,97900,-2.0877934,-1.114727
10/11/2020 17:00,297.88425,0.27,195,97850,-2.1891384,-0.6406555
10/11/2020 18:00,298.93182,0.3,218,97780,-2.3036718,-1.1400375
10/11/2020 19:00,298.20944,0.21,170,97750,-1.5410595,-0.41612434
10/11/2020 20:00,297.09457,0.18,100,97740,-1.4551811,-0.27319717
10/11/2020 21:00,295.25787,0.25,30,97750,-2.1579876,-1.3304672
10/11/2020 22:00,293.6626,0.21,0,97740,-2.335966,-0.4759121
10/11/2020 23:00,292.3735,0.17,-7,97730,-2.2643394,-0.1780529
10/12/2020 0:00,291.63358,0.17,-7,97750,-2.2184925,0.07747269
10/12/2020 1:00,291.0749,0.16,-8,97750,-2.0292053,-0.82045555
10/12/2020 2:00,290.77048,0.13,-7,97770,-1.5443821,-1.039648
10/12/2020 3:00,290.50195,0.13,-6,97770,-1.2740889,-0.8970089
10/12/2020 4:00,290.35614,0.21,-4,97750,-2.1684427,-0.9340668
10/12/2020 5:00,290.28217,0.24,-3,97720,-2.6358309,-0.8641262
10/12/2020 6:00,289.98383,0.25,0,97690,-2.6341095,-1.1139488
10/12/2020 7:00,289.40372,0.24,-6,97670,-2.8140306,-0.8345871
10/12/2020 8:00,289.20703,0.26,-3,97610,-2.7569904,-1.0306721
10/12/2020 9:00,288.5309,0.21,-5,97600,-2.3050356,-0.89909554
10/12/2020 10:00,287.67035,0.21,-17,97620,-2.6226063,-0.9293766
10/12/2020 11:00,287.44983,0.11,-7,97650,-1.5496111,-1.122572
10/12/2020 12:00,287.71115,0.15,-10,97650,-1.7762098,-1.2375011
10/12/2020 13:00,289.48813,0.27,6,97670,-2.8877716,-0.4216156
10/12/2020 14:00,291.18137,0.31,43,97670,-3.1196194,-0.3103733
10/12/2020 15:00,293.99518,0.36,110,97660,-3.5033588,0.56635666
10/12/2020 16:00,295.56445,0.42,170,97610,-3.9855194,1.1940899
10/12/2020 17:00,294.48648,0.49,90,97550,-4.8267746,2.0464916
10/12/2020 18:00,294.97382,0.43,80,97470,-4.001874,2.0915947
10/12/2020 19:00,296.04123,0.42,70,97400,-3.878767,2.1967182
10/12/2020 20:00,295.07977,0.37,30,97360,-3.5415573,1.789074
10/12/2020 21:00,295.67264,0.37,50,97320,-3.6648035,1.4362774
10/12/2020 22:00,294.05276,0.37,0,97270,-3.8465939,1.5196247
10/12/2020 23:00,291.9253,0.4,-23,97280,-4.053873,2.2655716
10/13/2020 0:00,290.34158,0.36,-23,97290,-3.9027424,1.632637
10/13/2020 1:00,289.4565,0.3,-8,97310,-3.1443539,1.4599857
10/13/2020 2:00,290.1024,0.34,11,97330,-3.2764893,1.7936287
10/13/2020 3:00,289.80212,0.3,7,97350,-2.899765,1.5286598
10/13/2020 4:00,289.5831,0.36,18,97330,-3.0218353,2.5338306
10/13/2020 5:00,289.37994,0.21,1,97250,-2.0377464,1.1898584
10/13/2020 6:00,288.36978,0.24,-13,97240,-2.2318153,1.8122787
10/13/2020 7:00,288.68875,0.08,-3,97280,0.66101456,1.2155952
10/13/2020 8:00,288.32916,0.29,17,97370,3.1813297,-0.23132801
10/13/2020 9:00,287.30267,0.44,17,97450,4.340187,-2.3387089
10/13/2020 10:00,286.82776,0.38,16,97610,3.805873,-1.8543129
10/13/2020 11:00,286.4115,0.27,8,97710,2.8244123,-1.0539684
10/13/2020 12:00,286.04926,0.27,13,97820,2.6636972,-1.278738
10/13/2020 13:00,286.50897,0.24,26,97920,2.142271,-1.3789215
10/13/2020 14:00,287.75143,0.3,66,98010,2.2066689,-1.9551544
10/13/2020 15:00,289.38684,0.29,125,98050,1.6791677,-2.0462227
10/13/2020 16:00,292.4416,0.25,240,98080,1.6162424,-1.0857859
10/13/2020 17:00,295.3095,0.4,320,98060,3.39925,-1.2140446
10/13/2020 18:00,296.60806,0.4,310,98030,3.4050522,-1.366972
10/13/2020 19:00,296.75854,0.41,270,97980,3.6953773,-1.2008915
10/13/2020 20:00,295.69656,0.35,190,97970,3.1903505,-0.9409466
10/13/2020 21:00,293.83786,0.27,90,97920,2.5162039,-0.49255466
10/13/2020 22:00,290.88663,0.23,-4,97920,2.4820042,0.273551
10/13/2020 23:00,287.29523,0.04,-3,97890,1.4685621,-0.12528133
10/14/2020 0:00,285.19263,0.03,-2,97920,1.2128792,0.06203842
10/14/2020 1:00,283.34735,0.03,-2,97910,0.67803,0.9196911
10/14/2020 2:00,282.22305,0.04,-2,97910,0.22642899,1.6311693
10/14/2020 3:00,281.5182,0.03,-1,97920,0.029157639,0.9327507
10/14/2020 4:00,280.77673,0.03,-2,97910,0.30219936,1.0148191
10/14/2020 5:00,280.10693,0.03,-2,97920,0.32797813,1.3122396
10/14/2020 6:00,279.5366,0.04,-3,97890,0.13472652,1.5279264
10/14/2020 7:00,279.2069,0.04,-3,97860,0.10449219,1.5436134
10/14/2020 8:00,278.9303,0.05,-5,97830,0.5494156,1.8178387
10/14/2020 9:00,278.7439,0.02,-3,97870,0.3921585,0.77967453
10/14/2020 10:00,278.48663,0.05,-5,97930,0.7206526,1.5620041
10/14/2020 11:00,278.18063,0.04,-4,97950,1.0581636,1.0861759
10/14/2020 12:00,278.38782,0.04,-3,97990,0.7528095,1.2300434
10/14/2020 13:00,283.33984,0.19,17,98050,1.4348106,1.3414326
10/14/2020 14:00,287.73056,0.25,114,98060,1.6112328,1.4579372
10/14/2020 15:00,291.8743,0.24,282,98040,1.2905378,1.083437
10/14/2020 16:00,295.1278,0.29,355,97890,1.7336159,1.5466843
